Route ID,Driver ID,Manifest,Delivery Duration (hours),Date,Fuel Price per Gallon (USD),Actual Distance (miles),Planned Distance (miles),Weather Conditions,Traffic Conditions,Driver Ratings,Customer Satisfaction,Delays (hours),Warehouse Storage Costs (USD),Truck Maintenance Costs (USD),Load Type,Load Weight (tons),Route Type,Truck Type,Driver Experience,Delivery Window,Truck Condition,Labor Costs (USD),Fuel Type,Toll Costs (USD),Parking Costs (USD),Time Idling (hours),Miles per Gallon,Calculated Fuel Cost (USD),Idle Cost (USD),Fuel Cost Per Mile,Total Operational Cost (USD),Weather Severity,Weather Severity Score
JFK/DEN,LE2616,7867863,4.41,2023-11-08,4.0,768.59,467.65,Snow,Severe,4.92,Very Satisfied,0.14,126.35,1493.56,Standard,16.77,Suburban,Box Truck,Junior,Afternoon,1,185.11,Gasoline,13.19,27.37,0.03,7.16,429.21,0.06,0.56,2089.73,0,0
CLE/LAX,MW2494,3426654,7.01,2023-01-23,3.5,358.17,896.0,Light Rain,Severe,4.04,Dissatisfied,2.49,69.21,941.01,Oversized,7.56,Interstate,Flatbed,Senior,Afternoon,3,36.26,Gasoline,23.11,6.92,1.09,6.12,204.72,1.9,0.57,1246.86,0,0
SLC/LAS,UA5257,5597348,8.2,2023-09-14,4.0,2713.66,2459.98,Fog,Severe,4.52,Dissatisfied,3.49,105.57,1426.65,Oversized,8.15,Interstate,Box Truck,Senior,Evening,5,189.18,Gasoline,16.35,26.28,1.33,6.12,1775.07,2.65,0.65,3352.59,3,3
DEN/DCA,YU5830,8908639,8.94,2023-11-29,3.5,2051.11,2687.91,Snow,Light,3.84,Very Dissatisfied,1.33,195.48,1243.0,Fragile,18.04,Interstate,Flatbed,Intermediate,Afternoon,1,50.15,Gasoline,35.52,0.67,1.48,7.79,921.9,2.6,0.45,2399.17,3,3
MIA/SLC,UI4738,7511373,7.1,2023-11-17,4.0,924.39,1906.44,Clear,Heavy,3.82,Neutral,1.79,59.31,666.57,Standard,17.3,Interstate,Flatbed,Senior,Afternoon,4,190.31,Diesel,6.86,3.39,0.39,6.42,576.13,0.79,0.62,1313.06,0,0
DEN/DCA,LN1459,2225773,6.47,2023-10-08,3.5,445.01,2676.69,Heavy Rain,Severe,1.83,Dissatisfied,3.67,82.39,1915.56,Standard,10.92,Urban,Flatbed,Senior,Morning,3,89.3,Gasoline,14.33,11.34,0.43,6.47,240.6,0.76,0.54,2264.98,3,3
SLC/BOS,NB5677,2309947,2.58,2023-07-05,3.5,2948.14,1081.95,Fog,Light,1.49,Satisfied,1.2,153.74,539.92,Standard,12.58,Urban,Semi,Intermediate,Morning,4,56.36,Gasoline,14.72,21.75,0.47,7.72,1336.4,0.82,0.45,2067.36,0,0
SEA/SAN,RW2133,2273480,6.03,2023-07-27,4.0,1860.13,1674.44,Clear,Moderate,4.38,Very Satisfied,2.2,157.3,1465.93,Oversized,12.26,Interstate,Flatbed,Senior,Afternoon,2,134.28,Gasoline,19.62,8.8,1.02,6.68,1114.51,2.04,0.6,2768.21,1,0
DEN/DFW,BP4462,1626918,7.63,2023-06-30,3.5,1143.33,660.58,Light Rain,Heavy,4.06,Neutral,2.74,174.4,1324.3,Oversized,4.37,Suburban,Flatbed,Junior,Morning,4,20.71,Diesel,13.22,29.27,1.88,6.51,614.89,3.29,0.54,2159.37,3,3
DTW/BOI,KM1048,2949780,4.66,2023-07-31,3.5,1702.37,977.67,Snow,Severe,3.71,Dissatisfied,2.84,66.86,1309.0,Perishable,3.82,Urban,Box Truck,Intermediate,Morning,5,50.08,Diesel,11.84,22.87,1.44,7.44,800.81,2.52,0.47,2213.9,2,2
CLE/MSP,XF4085,7110518,9.97,2023-11-14,4.0,2812.9,303.65,Snow,Severe,2.83,Very Dissatisfied,3.35,89.47,1942.66,Oversized,9.45,Urban,Semi,Intermediate,Evening,2,148.95,Diesel,36.12,2.43,1.6,7.03,1601.32,3.2,0.57,3675.21,3,3
SEA/CLE,WE1231,9101535,4.69,2023-10-08,3.5,1458.94,1579.32,Clear,Moderate,3.03,Very Dissatisfied,1.06,115.43,702.78,Standard,0.72,Urban,Semi,Junior,Morning,3,153.36,Diesel,20.14,15.73,0.05,6.07,841.28,0.09,0.58,1695.45,0,0
CMH/BOI,FY8141,3114202,2.78,2023-08-18,4.0,2999.6,1705.17,Snow,Heavy,1.5,Satisfied,2.27,132.31,1292.86,Oversized,12.16,Suburban,Box Truck,Junior,Overnight,2,107.45,Gasoline,32.87,14.85,0.64,6.44,1862.16,1.29,0.62,3336.34,1,1
DTW/BOI,KE8346,1928853,8.02,2023-03-26,3.5,1275.31,1290.48,Heavy Rain,Heavy,2.06,Satisfied,3.31,114.54,1341.28,Perishable,19.48,Urban,Box Truck,Senior,Afternoon,2,199.21,Diesel,45.97,1.98,1.64,7.31,610.76,2.87,0.48,2117.39,3,3
ATL/JFK,OL5478,5345880,5.1,2023-06-02,3.5,2958.68,546.06,Snow,Moderate,3.96,Very Dissatisfied,3.6,105.47,1180.93,Fragile,11.93,Suburban,Semi,Intermediate,Evening,2,67.55,Diesel,30.97,10.08,1.23,6.22,1664.08,2.16,0.56,2993.69,3,3
DFW/JFK,LY4943,1838150,1.77,2023-07-16,4.0,2825.57,1513.25,Snow,Heavy,4.61,Neutral,0.22,187.01,1654.84,Fragile,13.74,Urban,Box Truck,Senior,Overnight,1,129.45,Gasoline,21.32,8.89,1.9,6.94,1627.8,3.8,0.58,3503.65,3,3
DEN/MCO,OS4158,8904825,8.74,2023-11-01,4.0,2743.13,2750.53,Snow,Moderate,3.46,Neutral,0.7,180.68,544.97,Standard,11.74,Urban,Flatbed,Intermediate,Overnight,4,117.35,Diesel,8.21,0.44,0.86,7.07,1552.82,1.72,0.57,2288.84,2,2
BOI/CMH,EL3394,5306477,8.48,2023-02-07,4.5,1887.22,2869.38,Snow,Severe,1.04,Very Dissatisfied,1.1,109.42,1666.92,Oversized,10.25,Urban,Semi,Junior,Morning,1,47.52,Diesel,15.92,25.32,0.45,7.84,1083.82,1.02,0.57,2902.41,3,3
SEA/BNA,KB4845,5778147,2.51,2023-08-28,4.0,659.09,866.43,Light Rain,Heavy,4.28,Very Satisfied,2.98,162.76,1317.38,Oversized,7.63,Interstate,Flatbed,Senior,Afternoon,2,59.43,Gasoline,43.16,26.22,0.84,6.68,394.59,1.68,0.6,1945.79,1,1
DTW/CLE,HE9328,6272911,8.49,2023-01-31,3.5,292.2,1068.45,Light Rain,Moderate,4.64,Dissatisfied,3.0,167.78,615.68,Standard,0.79,Interstate,Box Truck,Senior,Evening,1,70.95,Diesel,25.37,11.43,1.79,7.53,135.86,3.13,0.46,959.24,3,3
IAH/CMH,YM5256,3629752,9.26,2023-12-04,4.0,2839.89,2164.98,Light Rain,Severe,1.42,Neutral,2.37,53.81,1044.97,Oversized,15.71,Suburban,Box Truck,Senior,Afternoon,5,87.09,Gasoline,2.71,21.85,1.6,6.76,1679.99,3.21,0.59,2806.54,1,1
ATL/PHX,MN9680,9609853,3.01,2023-01-02,4.0,962.17,2092.93,Clear,Moderate,2.82,Very Satisfied,3.2,68.31,1085.0,Fragile,10.38,Interstate,Flatbed,Junior,Evening,2,122.66,Diesel,30.17,23.46,0.89,6.5,592.34,1.78,0.62,1801.06,3,0
SLC/LAX,EQ4197,8413745,5.43,2023-01-22,4.5,2177.17,2992.62,Clear,Moderate,1.7,Neutral,4.2,124.56,1810.22,Perishable,8.92,Suburban,Semi,Senior,Afternoon,5,21.07,Diesel,1.44,1.02,0.07,7.11,1377.73,0.16,0.63,3315.14,1,0
JFK/SEA,GA3130,4212256,3.39,2023-11-30,4.5,1206.91,2578.77,Snow,Moderate,1.7,Very Dissatisfied,4.09,70.0,1181.69,Standard,10.01,Suburban,Flatbed,Junior,Morning,3,123.68,Gasoline,37.6,2.3,0.2,7.21,753.27,0.44,0.62,2045.31,2,2
MCO/CLT,ZY2830,5218471,5.67,2023-05-14,4.5,1663.69,583.13,Heavy Rain,Moderate,2.29,Neutral,3.68,143.37,1769.19,Fragile,8.42,Urban,Semi,Senior,Morning,4,108.58,Diesel,45.6,1.87,0.25,7.46,1004.02,0.56,0.6,2964.6,0,0
SEA/MCO,IS4993,4236055,3.93,2023-09-28,3.5,1980.98,152.34,Light Rain,Moderate,2.06,Dissatisfied,0.26,100.6,1325.91,Oversized,8.23,Suburban,Box Truck,Junior,Morning,1,22.5,Diesel,5.14,22.57,1.2,6.01,1154.58,2.1,0.58,2610.9,0,0
JFK/DFW,CS9368,3037113,6.31,2023-07-16,3.5,1798.54,1567.62,Heavy Rain,Moderate,2.51,Satisfied,1.75,59.02,1229.62,Fragile,13.69,Suburban,Box Truck,Intermediate,Afternoon,5,178.32,Diesel,22.58,25.05,0.3,6.66,944.65,0.53,0.53,2281.44,2,2
CLE/DCA,NY2978,5088217,6.62,2023-06-26,4.0,2348.5,2416.43,Snow,Severe,1.22,Dissatisfied,1.17,170.86,1244.54,Fragile,3.58,Suburban,Flatbed,Intermediate,Morning,2,93.06,Gasoline,15.57,26.14,0.25,6.37,1473.85,0.51,0.63,2931.48,0,0
ORD/DFW,ZD9557,5884148,5.17,2023-10-24,4.0,493.1,204.85,Light Rain,Severe,2.46,Neutral,4.74,101.15,1354.72,Fragile,12.91,Suburban,Semi,Senior,Evening,2,184.52,Gasoline,24.22,1.99,0.43,7.98,247.32,0.87,0.5,1730.26,0,0
LAS/DFW,BU4352,4854703,5.72,2023-07-05,3.5,2427.89,1414.5,Clear,Moderate,2.25,Very Satisfied,0.08,176.33,777.76,Standard,10.63,Urban,Flatbed,Junior,Overnight,5,153.01,Gasoline,3.01,16.91,0.26,7.99,1063.93,0.46,0.44,2038.39,3,0
MSP/BOI,YS2677,9404097,9.44,2023-05-04,4.5,2319.28,180.93,Fog,Moderate,2.39,Neutral,0.15,89.6,1201.93,Fragile,2.25,Suburban,Flatbed,Intermediate,Evening,2,77.08,Gasoline,4.96,25.15,0.88,7.05,1480.76,1.98,0.64,2804.38,0,0
SFO/ORD,YF7884,4232543,9.41,2023-06-17,3.5,761.68,795.1,Light Rain,Heavy,4.86,Neutral,3.92,93.63,1697.69,Perishable,2.6,Suburban,Flatbed,Junior,Evening,1,71.2,Diesel,16.37,24.43,1.97,6.66,400.0,3.44,0.53,2235.55,0,0
LAX/DEN,AU9812,4407261,2.48,2023-12-19,3.5,2361.76,292.75,Snow,Severe,4.46,Satisfied,2.46,130.4,1168.46,Oversized,9.83,Urban,Box Truck,Intermediate,Overnight,4,31.37,Gasoline,11.46,4.59,1.5,6.43,1285.92,2.63,0.54,2603.47,2,2
SAN/JFK,WT8814,9645759,2.05,2023-01-23,4.5,2351.96,426.06,Light Rain,Moderate,2.8,Very Dissatisfied,1.51,68.14,1164.1,Oversized,2.33,Interstate,Flatbed,Intermediate,Overnight,1,112.0,Gasoline,43.21,29.92,1.92,6.53,1619.75,4.33,0.69,2929.45,3,3
STL/LAX,LD6364,2439958,5.75,2023-03-14,4.5,1412.34,1864.06,Fog,Heavy,2.24,Satisfied,4.98,177.75,546.42,Fragile,7.78,Suburban,Semi,Intermediate,Evening,4,82.5,Gasoline,29.64,1.08,0.01,7.91,803.87,0.03,0.57,1558.8,2,2
CMH/DTW,QR3866,4484236,7.08,2023-09-22,4.5,2647.59,2697.1,Fog,Severe,4.46,Neutral,1.53,105.69,1328.2,Fragile,5.34,Interstate,Box Truck,Junior,Overnight,5,106.38,Gasoline,11.67,21.68,1.45,6.8,1751.64,3.25,0.66,3222.12,0,0
SEA/DFW,HI5284,2177584,5.8,2023-08-23,3.5,2486.06,499.51,Snow,Moderate,4.86,Neutral,2.73,100.98,885.21,Perishable,7.76,Suburban,Box Truck,Senior,Evening,1,124.56,Gasoline,33.56,25.02,0.08,6.51,1336.75,0.14,0.54,2381.66,1,1
DTW/CLE,HT7297,9397703,5.02,2023-07-24,4.0,806.22,2398.39,Light Rain,Light,4.99,Dissatisfied,1.31,58.39,1888.31,Perishable,1.92,Urban,Semi,Senior,Morning,5,112.73,Gasoline,27.08,4.05,0.42,6.28,513.44,0.84,0.64,2492.12,1,1
SAN/CLE,FF7569,3779188,8.21,2023-11-23,4.5,1071.48,2686.96,Heavy Rain,Severe,1.76,Very Dissatisfied,1.96,188.91,1080.58,Oversized,7.34,Urban,Semi,Junior,Overnight,2,92.28,Gasoline,30.82,6.47,1.36,6.63,727.43,3.07,0.68,2037.28,1,1
BOS/BNA,RF6393,9666739,4.1,2023-10-04,4.0,575.34,139.96,Snow,Heavy,3.08,Very Satisfied,2.6,109.31,1632.33,Oversized,14.5,Urban,Box Truck,Intermediate,Morning,4,156.93,Diesel,19.27,18.65,0.93,6.29,366.08,1.87,0.64,2147.51,2,2
SFO/SLC,WR9961,3496701,3.95,2023-12-31,3.5,516.64,1825.17,Clear,Moderate,3.61,Satisfied,1.18,137.38,1580.99,Perishable,2.22,Suburban,Box Truck,Junior,Morning,1,142.4,Gasoline,12.06,9.71,0.48,7.84,230.72,0.84,0.45,1971.71,1,0
DEN/SLC,TP4594,8215634,6.45,2023-05-24,4.0,1998.05,2808.09,Heavy Rain,Severe,3.79,Very Dissatisfied,2.58,140.17,1941.16,Oversized,5.25,Urban,Flatbed,Intermediate,Morning,4,189.14,Diesel,21.18,25.97,0.8,7.31,1093.89,1.6,0.55,3223.97,3,3
LAS/BOI,GW6570,9920550,3.56,2023-09-13,3.5,793.11,504.62,Snow,Heavy,3.64,Very Dissatisfied,3.17,175.49,722.39,Fragile,14.53,Suburban,Flatbed,Senior,Evening,2,133.13,Diesel,48.31,22.85,0.8,6.0,462.61,1.4,0.58,1433.06,1,1
BNA/DCA,LS9775,4876929,4.39,2023-01-09,3.5,412.6,391.24,Snow,Heavy,1.88,Very Satisfied,1.93,157.64,812.04,Standard,11.67,Interstate,Flatbed,Intermediate,Evening,5,120.09,Gasoline,4.13,3.24,1.45,6.28,230.08,2.54,0.56,1209.67,2,2
SAN/BOS,XZ9878,2256212,9.68,2023-05-20,4.0,2049.67,1111.07,Fog,Moderate,4.84,Satisfied,2.26,56.67,1074.46,Fragile,3.06,Suburban,Semi,Intermediate,Morning,3,100.82,Diesel,19.83,6.69,1.62,7.85,1045.04,3.25,0.51,2205.93,1,1
DTW/MIA,KY1411,2118916,3.91,2023-11-13,4.5,1626.3,608.17,Clear,Heavy,2.91,Neutral,1.3,85.91,1545.26,Standard,1.17,Suburban,Semi,Junior,Evening,2,70.0,Diesel,46.88,4.09,0.02,6.4,1143.1,0.04,0.7,2825.27,3,0
CLT/MCO,TZ5213,1491532,9.14,2023-12-29,4.5,2598.56,648.84,Clear,Heavy,4.18,Very Satisfied,2.56,86.02,993.7,Oversized,8.83,Interstate,Semi,Intermediate,Morning,2,138.39,Diesel,20.77,18.84,1.03,7.71,1515.81,2.31,0.58,2637.45,0,0
SEA/ATL,ED8331,3089526,8.96,2023-03-05,4.0,2110.46,221.04,Light Rain,Severe,3.27,Satisfied,0.19,162.03,1608.15,Perishable,12.51,Interstate,Semi,Senior,Overnight,4,84.29,Diesel,1.5,12.7,0.37,7.46,1132.16,0.74,0.54,2917.29,2,2
DTW/DCA,MI9865,7423106,9.25,2023-02-08,4.5,1363.26,2937.59,Snow,Heavy,1.43,Satisfied,3.24,161.0,1208.78,Perishable,15.99,Interstate,Semi,Senior,Morning,5,116.48,Gasoline,44.61,10.15,1.82,7.0,876.18,4.09,0.64,2304.79,2,2
PHX/DTW,KL1778,9782533,4.12,2023-04-12,3.5,2566.18,2674.54,Clear,Heavy,2.21,Dissatisfied,1.95,57.99,1516.62,Perishable,9.08,Urban,Flatbed,Senior,Overnight,4,96.17,Gasoline,15.41,2.02,1.96,6.01,1494.21,3.44,0.58,3089.68,3,0
PHX/PHX,II4113,4795399,4.25,2023-02-06,4.0,2362.77,1713.16,Light Rain,Moderate,4.04,Neutral,0.43,156.17,1160.28,Perishable,0.61,Suburban,Flatbed,Senior,Morning,2,178.78,Gasoline,8.81,6.15,0.62,6.08,1555.09,1.25,0.66,2887.74,2,2
SEA/SEA,RA3822,4460073,9.64,2023-02-02,3.5,1689.51,2047.24,Heavy Rain,Light,4.05,Satisfied,3.22,87.09,649.7,Oversized,1.24,Suburban,Box Truck,Junior,Evening,2,99.31,Gasoline,14.19,22.83,1.46,7.07,836.64,2.56,0.5,1613.0,0,0
SEA/BOI,FA6944,7127872,9.27,2023-04-08,4.0,607.7,2552.16,Heavy Rain,Severe,3.08,Neutral,0.38,83.77,1919.53,Fragile,11.01,Urban,Semi,Junior,Evening,3,185.96,Diesel,5.07,11.98,1.52,6.48,374.93,3.04,0.62,2398.31,2,2
CLT/JFK,GZ5639,3185571,6.68,2023-09-03,4.0,2586.62,150.64,Fog,Heavy,1.91,Very Dissatisfied,1.31,91.48,895.85,Fragile,17.11,Urban,Semi,Junior,Evening,3,133.94,Diesel,20.44,15.54,0.15,7.07,1464.06,0.3,0.57,2487.67,1,1
SAN/BOS,AB6455,6193589,7.3,2023-08-21,4.5,1833.67,183.53,Fog,Severe,1.62,Neutral,3.77,169.11,1993.01,Perishable,3.8,Urban,Semi,Senior,Morning,2,197.33,Gasoline,28.4,2.08,0.84,7.11,1160.66,1.9,0.63,3355.17,2,2
MIA/LAX,WI5055,6811504,7.34,2023-10-20,3.5,1044.12,2349.33,Light Rain,Severe,1.89,Satisfied,4.44,129.22,1111.74,Fragile,10.21,Urban,Semi,Intermediate,Overnight,3,162.42,Gasoline,4.51,0.8,0.36,6.3,579.96,0.63,0.56,1826.85,0,0
SLC/LAS,PY3920,9896249,9.79,2023-09-13,4.0,662.21,494.12,Clear,Light,2.45,Dissatisfied,4.39,110.16,1375.99,Standard,18.24,Interstate,Semi,Senior,Afternoon,3,71.75,Diesel,22.87,5.75,0.93,7.17,369.46,1.85,0.56,1886.09,0,0
SLC/SFO,DG2682,8541169,3.68,2023-11-27,4.0,2905.31,2948.26,Fog,Moderate,2.05,Very Satisfied,2.35,191.21,1841.54,Perishable,10.81,Urban,Box Truck,Junior,Morning,1,115.1,Gasoline,22.9,27.12,0.33,7.51,1548.39,0.66,0.53,3631.82,2,2
CMH/LAS,LD9020,5994263,10.0,2023-10-01,4.5,1214.86,176.75,Clear,Moderate,2.17,Satisfied,3.19,125.76,1947.61,Fragile,14.28,Suburban,Flatbed,Intermediate,Morning,1,72.3,Diesel,24.73,18.47,0.58,7.23,755.65,1.3,0.62,2873.52,0,0
IAH/CLE,CT7722,4662285,1.08,2023-03-02,3.5,701.22,1804.07,Snow,Moderate,3.85,Satisfied,4.3,99.4,1161.72,Perishable,17.33,Urban,Box Truck,Intermediate,Overnight,5,127.99,Diesel,33.75,19.0,0.36,6.26,391.96,0.64,0.56,1706.47,3,3
LAX/MIA,LD3437,8243847,4.95,2023-08-22,4.0,1504.72,2136.84,Light Rain,Heavy,4.54,Dissatisfied,2.28,77.7,1150.51,Standard,6.95,Interstate,Semi,Senior,Evening,1,169.57,Diesel,48.46,10.35,1.71,7.5,802.75,3.43,0.53,2093.2,2,2
LAX/DFW,DR7324,5344661,7.68,2023-10-15,4.0,282.22,2001.13,Snow,Severe,2.19,Neutral,0.8,150.75,1793.12,Standard,14.35,Suburban,Flatbed,Senior,Evening,5,180.44,Diesel,6.54,21.29,1.28,6.67,169.22,2.57,0.6,2143.5,3,3
LAX/DEN,GM4822,2836170,4.06,2023-09-29,3.5,2330.27,618.64,Light Rain,Heavy,4.61,Satisfied,2.94,119.5,850.24,Perishable,15.94,Urban,Flatbed,Junior,Morning,1,147.42,Gasoline,32.13,5.9,0.32,6.43,1268.32,0.56,0.54,2276.66,0,0
LAX/DCA,GI7805,7720220,9.2,2023-11-28,4.5,1511.75,1045.2,Fog,Light,1.76,Neutral,2.32,170.64,1432.86,Oversized,1.51,Interstate,Semi,Junior,Overnight,3,105.89,Diesel,4.42,18.94,0.41,6.46,1052.64,0.93,0.7,2680.43,2,2
SAN/CLE,CC3044,7978531,7.43,2023-03-27,3.5,336.03,2839.73,Clear,Light,4.64,Neutral,1.32,112.16,1689.74,Perishable,11.26,Suburban,Flatbed,Intermediate,Morning,1,58.48,Diesel,48.39,4.15,0.83,7.86,149.58,1.45,0.45,2005.46,3,0
IAH/IAH,KL9365,1802806,4.36,2023-08-01,3.5,415.96,401.9,Fog,Severe,3.91,Very Satisfied,0.01,170.05,1837.54,Standard,11.45,Suburban,Box Truck,Intermediate,Morning,5,70.63,Gasoline,46.21,20.64,0.76,6.99,208.16,1.33,0.5,2283.93,3,3
ATL/BNA,QA3896,9324658,3.44,2023-08-12,3.5,2230.27,1271.61,Clear,Heavy,2.08,Satisfied,4.75,186.96,1302.78,Oversized,19.24,Interstate,Box Truck,Junior,Morning,3,122.44,Gasoline,37.83,14.02,1.6,7.38,1057.57,2.8,0.47,2601.97,0,0
LAS/SEA,WA3887,6803896,6.95,2023-07-18,4.0,1429.19,1356.09,Snow,Severe,2.69,Satisfied,4.15,142.91,979.45,Fragile,8.67,Interstate,Flatbed,Senior,Overnight,3,28.35,Gasoline,48.06,12.8,1.53,6.51,878.43,3.05,0.61,2064.7,1,1
ATL/SAN,RP2303,2186071,8.45,2023-09-12,4.5,566.5,417.45,Snow,Heavy,2.86,Very Satisfied,2.36,62.15,741.49,Standard,18.03,Suburban,Flatbed,Junior,Overnight,4,87.7,Diesel,49.15,27.53,0.3,6.58,387.17,0.67,0.68,1268.16,3,3
DEN/DFW,WW6277,6819869,6.7,2023-02-03,4.5,1725.67,123.84,Snow,Moderate,3.48,Neutral,2.02,56.45,998.54,Fragile,7.88,Interstate,Semi,Junior,Morning,4,149.06,Gasoline,46.31,21.42,1.63,7.76,1000.23,3.67,0.58,2126.62,0,0
LAS/LAS,MI1855,5699202,7.08,2023-07-22,4.5,575.85,108.31,Snow,Moderate,3.68,Very Satisfied,4.79,132.93,1371.46,Oversized,11.43,Interstate,Box Truck,Intermediate,Overnight,5,64.61,Diesel,21.81,2.19,1.66,7.51,344.89,3.74,0.6,1877.02,0,0
IAH/DCA,HY7624,1736917,1.66,2023-06-17,4.5,932.65,2053.05,Snow,Light,4.12,Satisfied,0.6,168.68,1507.66,Fragile,13.33,Interstate,Box Truck,Intermediate,Overnight,3,120.9,Diesel,38.66,5.51,0.99,6.94,605.12,2.23,0.65,2327.85,2,2
MIA/SEA,BL4506,1277216,8.12,2023-10-04,4.0,260.67,1744.0,Snow,Moderate,3.7,Very Dissatisfied,2.18,84.3,1970.84,Perishable,5.02,Interstate,Semi,Senior,Overnight,4,25.45,Diesel,5.46,11.34,0.9,6.07,171.73,1.8,0.66,2245.48,3,3
IAH/BNA,FG9006,5024183,4.64,2023-05-27,3.5,2604.44,1017.57,Clear,Heavy,2.28,Neutral,4.15,85.58,988.4,Oversized,2.44,Suburban,Semi,Junior,Afternoon,5,50.5,Gasoline,9.44,26.63,1.0,6.47,1408.11,1.75,0.54,2519.91,2,0
MSP/LAX,GL7446,4672159,1.53,2023-06-27,3.5,2279.97,119.32,Clear,Light,2.51,Dissatisfied,3.27,161.69,1499.69,Standard,5.31,Suburban,Flatbed,Senior,Morning,5,151.35,Gasoline,32.27,28.47,0.1,6.76,1180.8,0.18,0.52,2903.11,3,0
PHX/MCO,MG2239,7698196,6.69,2023-02-02,4.5,533.16,1061.62,Clear,Light,4.75,Satisfied,0.52,151.65,1118.98,Perishable,18.58,Suburban,Flatbed,Junior,Morning,4,156.03,Diesel,33.57,1.77,0.95,6.65,360.79,2.13,0.68,1668.89,3,0
SEA/IAH,RU9623,6003859,1.47,2023-03-04,4.0,2783.09,2277.9,Light Rain,Heavy,4.88,Dissatisfied,0.83,123.04,1804.22,Oversized,10.6,Interstate,Box Truck,Junior,Evening,2,164.87,Gasoline,6.5,5.78,0.41,7.14,1559.38,0.81,0.56,3499.74,3,3
PHX/STL,CR2622,7614467,9.02,2023-06-12,4.5,1060.03,2140.92,Fog,Heavy,3.62,Dissatisfied,3.82,109.56,1836.49,Perishable,12.53,Interstate,Flatbed,Junior,Afternoon,5,104.04,Gasoline,48.08,3.7,1.92,6.49,734.55,4.33,0.69,2736.72,0,0
SFO/ORD,GX1587,3118456,1.75,2023-01-08,4.0,2952.26,2514.37,Snow,Light,4.6,Very Satisfied,2.02,182.41,1303.89,Fragile,18.07,Interstate,Semi,Junior,Evening,2,39.3,Gasoline,4.92,15.71,1.68,7.35,1605.66,3.36,0.54,3115.95,2,2
BOI/PHX,BG2354,8646672,5.45,2023-12-23,4.5,1980.1,1725.17,Snow,Heavy,1.47,Very Satisfied,3.41,100.57,923.02,Perishable,1.67,Urban,Flatbed,Intermediate,Morning,2,91.3,Gasoline,27.32,26.07,0.79,6.95,1282.11,1.77,0.65,2360.86,1,1
DEN/MSP,XY6682,1702958,6.47,2023-09-11,4.0,1312.63,2084.04,Fog,Light,2.3,Neutral,2.44,173.48,609.3,Standard,3.7,Interstate,Box Truck,Intermediate,Overnight,1,158.95,Diesel,6.93,3.09,0.43,6.17,850.37,0.86,0.65,1644.01,1,1
SAN/SEA,MN9444,7077225,8.86,2023-08-12,4.0,2074.64,1250.11,Light Rain,Heavy,4.43,Satisfied,3.02,119.07,925.72,Standard,3.34,Interstate,Flatbed,Senior,Afternoon,2,37.68,Gasoline,13.36,6.6,0.96,6.17,1344.67,1.92,0.65,2411.34,2,2
DTW/STL,GX5340,6076716,1.82,2023-02-06,3.5,1958.18,1721.88,Heavy Rain,Moderate,2.49,Very Dissatisfied,1.8,59.97,1437.68,Oversized,16.78,Interstate,Box Truck,Senior,Afternoon,4,115.9,Diesel,43.32,9.92,1.52,7.17,956.5,2.66,0.49,2510.05,0,0
DTW/LAX,JW7860,4374519,1.04,2023-05-08,3.5,1390.25,753.06,Snow,Moderate,1.57,Dissatisfied,3.64,61.13,1090.09,Perishable,2.11,Interstate,Flatbed,Senior,Afternoon,5,137.46,Gasoline,30.88,10.33,0.81,6.31,771.35,1.41,0.55,1965.18,2,2
SLC/SAN,OZ3047,8590860,2.11,2023-05-19,4.0,2189.83,2763.97,Fog,Severe,2.21,Very Dissatisfied,4.43,194.47,623.19,Fragile,13.34,Suburban,Semi,Intermediate,Afternoon,5,182.11,Gasoline,0.82,5.07,0.65,6.06,1446.35,1.31,0.66,2271.2,3,3
SFO/JFK,JB3259,7009923,8.7,2023-09-23,4.0,2978.64,242.64,Fog,Severe,4.43,Very Dissatisfied,1.53,154.62,568.14,Fragile,7.76,Urban,Box Truck,Junior,Morning,1,188.56,Diesel,34.23,16.83,1.28,6.34,1879.7,2.56,0.63,2656.08,3,3
DFW/CMH,LJ7164,9179421,6.83,2023-11-13,4.0,566.23,1402.52,Snow,Light,4.28,Neutral,0.47,64.24,1294.65,Oversized,13.89,Suburban,Box Truck,Intermediate,Afternoon,5,81.64,Diesel,5.7,1.58,0.78,6.93,326.65,1.57,0.58,1694.39,3,3
SLC/MCO,BS3798,7704386,9.33,2023-02-19,4.0,1468.13,1986.26,Snow,Moderate,2.76,Very Dissatisfied,0.7,110.5,1659.93,Fragile,10.94,Suburban,Box Truck,Intermediate,Afternoon,3,41.55,Gasoline,31.92,21.78,1.39,7.57,776.2,2.78,0.53,2603.12,1,1
LAX/LAS,PT5064,3420627,8.42,2023-05-25,4.0,1669.87,1702.39,Light Rain,Heavy,3.4,Dissatisfied,2.0,157.23,1742.1,Perishable,12.79,Interstate,Box Truck,Junior,Afternoon,5,54.26,Diesel,37.09,17.13,0.08,7.67,870.67,0.16,0.52,2824.37,1,1
STL/DCA,OR1095,6865871,8.5,2023-10-12,4.5,2376.29,2071.62,Fog,Moderate,3.3,Dissatisfied,3.01,174.25,1755.17,Fragile,15.42,Suburban,Semi,Senior,Afternoon,5,60.25,Diesel,41.9,5.93,1.13,6.86,1559.1,2.54,0.66,3538.88,1,1
